Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
780,31.1,0,4,0.85,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
790,31.1,0,4,0.84,0.21,0,0,2,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
800,31.1,0,4,0.84,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
810,31.3,0,4,0.85,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
820,30.3,0,3,0.83,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
830,27.1,0,3,0.77,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
840,22.7,0,3,0.67,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
850,23.9,0,3,0.69,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
860,25.2,0,3,0.72,0.21,0,0,3,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
870,26.5,0,3,0.75,0.21,0,0,2,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
880,26.7,0,3,0.75,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
890,29.3,0,3,0.8,0.21,0,0,1,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
900,31.8,0,3,0.86,0.21,0,0,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
910,31.8,0,4,0.86,0.21,0,0,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
920,31.6,0,4,0.85,0.21,0,0,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
930,31.6,3,5,0.85,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
940,31.8,3,5,0.86,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
950,31.5,3,5,0.85,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
960,31.1,3,5,0.84,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
970,31.5,3,5,0.85,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
980,30.8,3,5,0.84,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
990,28.7,3,5,0.79,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1000,27.2,3,4,0.76,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1010,25.3,3,4,0.73,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1020,22.6,3,4,0.67,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1030,19.6,3,4,0.61,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1040,17,3,3,0.56,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1050,13.9,3,3,0.5,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1060,12.3,3,3,0.46,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1070,11,3,3,0.43,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1080,8.7,3,3,0.39,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1090,7.1,3,2,0.35,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1100,7.6,3,2,0.36,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1110,7.9,3,2,0.37,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1120,7.8,3,2,0.37,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1130,7.8,0,1,0.37,0.21,0,0,99,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1140,7.2,0,1,0.36,0.21,0,0,99,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1150,6.9,0,1,0.35,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1160,8.2,0,1,0.38,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1170,12.2,0,1,0.45,0.21,0,0,99,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1180,14.3,0,2,0.5,0.21,0,0,35,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1190,15.4,0,2,0.52,0.21,0,0,29,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1200,19.3,0,2,0.6,0.21,0,0,12,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1210,24.8,0,2,0.72,0.21,0,0,5,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1220,29,0,3,0.8,0.21,0,0,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1230,31.6,0,3,0.85,0.21,0,0,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1240,32,0,4,0.86,0.21,0,0,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1250,32,3,5,0.86,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1260,31.6,3,5,0.85,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1270,30.1,3,5,0.82,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1280,28.1,3,5,0.78,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1290,26.5,3,4,0.75,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1300,23.6,3,4,0.69,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1310,21.6,3,4,0.65,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1320,18.8,3,4,0.6,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1330,16.4,3,3,0.54,0.21,0,1,0,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1340,13.6,3,3,0.49,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1350,10,3,3,0.42,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1360,8.1,3,2,0.38,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1370,7.5,3,2,0.36,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1380,7.4,3,2,0.36,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1390,6.9,3,2,0.35,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1400,6.8,3,2,0.35,0.21,0,1,0,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1410,7.2,0,1,0.36,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1420,7.1,0,1,0.36,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1430,6.5,0,1,0.34,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1440,7.6,0,1,0.37,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1450,8.7,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1460,8.900001,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1470,8.900001,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1480,9.5,0,1,0.4,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1490,10.1,0,1,0.42,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1500,10.1,0,1,0.42,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1510,9.5,0,1,0.41,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1520,8.8,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1530,8.7,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1540,8.6,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1550,8.7,0,1,0.39,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1560,9,0,1,0.4,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1570,8.900001,0,1,0.4,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1580,7.3,0,1,0.36,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1590,7.1,0,1,0.36,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1600,7,0,1,0.35,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
1610,7,0,1,0.35,0.21,0,0,99,1,0,31,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
